epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,276.837,0.67093,0.61102,1.11222,0.43109,0.49979,0.41607,0.16385,2.12174,2.13012,2.71038,0.00091981,0.00091981,0.00091981
83,280.171,0.65037,0.59458,1.08854,0.49465,0.42377,0.4035,0.19226,2.03144,2.28083,2.53001,0.00091882,0.00091882,0.00091882
84,283.504,0.66301,0.64018,1.1108,0.3326,0.42186,0.35714,0.17728,2.00121,2.40254,2.42673,0.00091783,0.00091783,0.00091783
85,286.839,0.66846,0.65144,1.11309,0.44093,0.47592,0.40222,0.20594,1.95043,2.17251,2.55155,0.00091684,0.00091684,0.00091684
86,290.176,0.68699,0.68487,1.13725,0.4443,0.34518,0.39841,0.18455,2.13291,2.35128,2.97788,0.00091585,0.00091585,0.00091585
87,293.507,0.6161,0.58183,1.06455,0.47632,0.26129,0.34472,0.13935,2.23963,2.49705,3.22451,0.00091486,0.00091486,0.00091486
88,296.825,0.6435,0.60842,1.09731,0.32488,0.30403,0.30148,0.10444,2.43913,2.72055,3.43488,0.00091387,0.00091387,0.00091387
89,300.163,0.59896,0.54833,1.06049,0.35124,0.30883,0.31352,0.13889,2.24218,2.54786,3.15143,0.00091288,0.00091288,0.00091288
90,303.494,0.62642,0.5654,1.0741,0.34745,0.44738,0.3515,0.17593,2.06465,2.32236,2.8294,0.00091189,0.00091189,0.00091189
91,306.826,0.63095,0.59554,1.07838,0.4647,0.40606,0.34964,0.14557,2.14562,2.75756,2.9604,0.0009109,0.0009109,0.0009109
92,310.152,0.60943,0.55406,1.07149,0.40115,0.35275,0.3575,0.14631,2.19462,2.84875,2.85747,0.00090991,0.00090991,0.00090991
93,313.478,0.59106,0.54128,1.0718,0.4182,0.24205,0.25477,0.11699,2.26877,3.2542,3.14643,0.00090892,0.00090892,0.00090892
94,316.821,0.61133,0.55813,1.06892,0.35743,0.35274,0.33241,0.1482,2.09834,2.63048,2.86788,0.00090793,0.00090793,0.00090793
95,320.151,0.63139,0.59182,1.08329,0.35608,0.32855,0.34151,0.15997,2.13467,2.4993,2.84041,0.00090694,0.00090694,0.00090694
96,323.479,0.60202,0.58348,1.06173,0.37155,0.32579,0.33697,0.14194,2.20024,2.58037,3.05273,0.00090595,0.00090595,0.00090595
97,326.811,0.62714,0.56263,1.07486,0.48354,0.36665,0.36554,0.17259,2.18399,2.55918,3.10558,0.00090496,0.00090496,0.00090496
98,330.134,0.58416,0.52949,1.0673,0.45874,0.35308,0.38578,0.16587,2.27355,2.78257,3.26836,0.00090397,0.00090397,0.00090397
99,333.643,0.59841,0.56225,1.0799,0.26541,0.32942,0.27702,0.11691,2.28783,2.82467,3.23595,0.00090298,0.00090298,0.00090298
100,337.224,0.5944,0.55124,1.05295,0.30614,0.36287,0.31882,0.11159,2.25994,2.72839,3.04084,0.00090199,0.00090199,0.00090199
101,340.551,0.58733,0.54424,1.05356,0.30566,0.23565,0.25901,0.08494,2.33132,2.87432,3.20673,0.000901,0.000901,0.000901
102,343.887,0.61636,0.54473,1.05733,0.37556,0.36398,0.33956,0.13244,2.21743,2.58193,2.99411,0.00090001,0.00090001,0.00090001
103,347.221,0.60268,0.52691,1.0568,0.40435,0.35296,0.38313,0.15956,2.07706,2.56593,2.79662,0.00089902,0.00089902,0.00089902
104,350.554,0.62379,0.56203,1.06445,0.36009,0.37002,0.3208,0.13443,2.19025,2.60496,3.01425,0.00089803,0.00089803,0.00089803
105,353.889,0.60139,0.53851,1.05906,0.35638,0.41263,0.36229,0.16513,2.11661,2.54338,2.9208,0.00089704,0.00089704,0.00089704
106,357.227,0.59522,0.52749,1.06189,0.45697,0.41974,0.40376,0.19066,1.9947,2.2773,2.55353,0.00089605,0.00089605,0.00089605
107,360.564,0.57734,0.55447,1.06383,0.34014,0.3561,0.31949,0.12937,2.14545,2.5742,2.92979,0.00089506,0.00089506,0.00089506
108,363.893,0.60957,0.54529,1.07551,0.36602,0.52505,0.44633,0.2072,2.03122,2.03837,2.84358,0.00089407,0.00089407,0.00089407
109,367.226,0.57165,0.52562,1.03312,0.44043,0.402,0.36945,0.13355,2.25444,2.38085,3.25057,0.00089308,0.00089308,0.00089308
110,370.556,0.59466,0.54397,1.05506,0.28799,0.34403,0.25102,0.11373,2.24588,2.78062,3.22271,0.00089209,0.00089209,0.00089209
111,373.892,0.60115,0.57571,1.06497,0.31901,0.34093,0.35743,0.14053,2.27047,2.73206,3.06425,0.0008911,0.0008911,0.0008911
112,377.24,0.57055,0.54827,1.04601,0.35812,0.4293,0.3973,0.15957,2.19512,2.49055,3.05355,0.00089011,0.00089011,0.00089011
113,380.576,0.58681,0.50703,1.05038,0.41905,0.43797,0.39845,0.17718,2.23393,2.63186,3.13079,0.00088912,0.00088912,0.00088912
114,383.921,0.59516,0.54874,1.0529,0.39329,0.33907,0.34872,0.17522,2.14281,2.86612,2.9364,0.00088813,0.00088813,0.00088813
115,387.253,0.57823,0.51365,1.0287,0.4313,0.39234,0.36745,0.14533,2.30772,2.77423,3.25649,0.00088714,0.00088714,0.00088714
116,390.596,0.57239,0.52537,1.04663,0.32728,0.41742,0.36082,0.13789,2.29639,2.58352,3.27395,0.00088615,0.00088615,0.00088615
117,393.936,0.56846,0.5207,1.06616,0.35714,0.31701,0.32933,0.13076,2.33408,2.37565,3.27982,0.00088516,0.00088516,0.00088516
118,397.284,0.56504,0.49318,1.03946,0.46693,0.41551,0.37466,0.15765,2.16969,2.5631,3.08999,0.00088417,0.00088417,0.00088417
119,400.622,0.59868,0.54201,1.05754,0.52383,0.36651,0.38243,0.19747,2.14335,2.51102,2.84195,0.00088318,0.00088318,0.00088318
120,403.964,0.56627,0.51876,1.04311,0.50755,0.52525,0.46197,0.22486,2.167,2.20089,2.76472,0.00088219,0.00088219,0.00088219
121,407.297,0.57605,0.54017,1.03905,0.48455,0.47337,0.53021,0.20817,2.35271,2.06031,3.17331,0.0008812,0.0008812,0.0008812
122,410.628,0.55431,0.51343,1.02993,0.57246,0.42067,0.47672,0.18247,2.25472,2.22297,3.04885,0.00088021,0.00088021,0.00088021
123,413.961,0.52238,0.48601,1.00423,0.51068,0.41341,0.38691,0.16278,2.2335,2.41781,3.15774,0.00087922,0.00087922,0.00087922
124,417.289,0.56496,0.48786,1.04065,0.36052,0.29407,0.29126,0.12369,2.38227,2.60749,3.33029,0.00087823,0.00087823,0.00087823
125,420.617,0.55962,0.491,1.03207,0.36029,0.39597,0.32675,0.13245,2.38042,2.55675,3.31367,0.00087724,0.00087724,0.00087724
126,423.956,0.5476,0.49136,1.03712,0.38931,0.45136,0.37173,0.14591,2.28977,2.54832,3.13356,0.00087625,0.00087625,0.00087625
127,427.28,0.5382,0.49073,1.0341,0.32591,0.35968,0.33593,0.1474,2.21179,2.52883,3.0618,0.00087526,0.00087526,0.00087526
128,430.608,0.53064,0.49584,1.03295,0.41552,0.29913,0.33907,0.17205,2.15051,2.36401,2.971,0.00087427,0.00087427,0.00087427
129,433.937,0.5643,0.52124,1.04929,0.49356,0.30596,0.25818,0.09938,2.33029,2.87021,3.22826,0.00087328,0.00087328,0.00087328
130,437.27,0.55108,0.49992,1.03569,0.50542,0.34093,0.39623,0.14621,2.21747,2.76665,3.12811,0.00087229,0.00087229,0.00087229
131,440.604,0.57987,0.55245,1.04817,0.32965,0.32106,0.29821,0.12493,2.43484,2.40268,3.45764,0.0008713,0.0008713,0.0008713
132,443.943,0.52002,0.48346,1.02118,0.47186,0.53897,0.4511,0.18943,2.21075,2.06499,3.0944,0.00087031,0.00087031,0.00087031
133,447.273,0.53208,0.49339,1.03351,0.38872,0.4322,0.37162,0.1724,2.22826,2.52945,3.12372,0.00086932,0.00086932,0.00086932
134,450.781,0.54714,0.47794,1.02865,0.46125,0.31014,0.34821,0.15931,2.17652,2.45764,2.90523,0.00086833,0.00086833,0.00086833
135,454.38,0.53298,0.50229,1.0148,0.44144,0.40357,0.40317,0.19287,2.09912,2.3975,2.86702,0.00086734,0.00086734,0.00086734
